,AABW 30S 3750m,NADW 30S 1050m,NADW 30N 1050m,BSF Drake Passage,BSF Weddell Gyre
75,-11.303104,13.268063,24.627844,118.314744,85.732616
76,-13.093746,13.752691,23.796846,117.075088,87.688328
77,-12.921534,13.50904,23.389394,117.39724,69.932968
78,-10.311301,13.63128,23.69587,116.474632,83.624656
79,-13.281242,12.489249,22.521618,114.334272,88.554296
80,-14.105537,12.22913,23.852852,115.104976,88.82124
81,-11.823004,14.2475,23.206012,116.208512,85.729512
82,-12.920039,12.949181,22.754248,116.069096,86.43356
83,-13.396315,13.587286,22.904366,114.61684,93.222368
84,-11.68211,13.527502,25.19419,114.981624,76.741528
85,-11.424296,14.725744,25.34888,116.971848,85.248904
86,-13.262301,14.529364,22.985456,115.468288,87.241712
87,-11.657411,13.566175,26.281624,115.36936,90.382096
88,-14.006964,12.773773,25.889306,114.642824,90.596696
89,-10.026853,15.277098,27.37698,116.296992,87.041952
90,-13.163676,12.819654,26.452596,114.86484,84.258448
91,-11.509776,13.887088,24.545288,113.231432,89.210648
92,-12.971433,12.070474,25.34903,116.544248,86.405528
93,-11.469706,13.369012,25.286282,115.35628,87.100496
94,-10.591229,16.679836,25.459716,115.37312,86.90096
95,-11.981717,13.437678,25.719706,114.994944,82.81856
96,-12.129863,11.916568,23.991714,114.28448,90.30784
97,-10.821005,14.207997,22.614368,115.6246,82.020528
98,-10.629555,13.869715,25.606148,113.968608,77.717368
99,-10.794653,12.788128,24.528424,113.828672,84.02512
100,-11.226999,13.788001,24.676354,112.546152,82.13816
101,-11.318002,13.679756,25.91967,113.852512,86.861152
102,-11.011153,14.916203,27.092286,114.979784,86.310488
103,-9.835837,12.393068,26.3042,113.32164,87.673384
104,-12.165891,14.192814,26.158036,112.97696,87.939032
105,-11.296786,13.430918,26.20265,113.31832,85.246664
106,-12.206892,11.99623,26.335428,113.304824,89.253976
107,-10.697516,12.757812,27.478368,112.108288,85.807824
108,-10.492467,15.746579,26.561356,113.888816,86.15308
109,-11.517131,11.736208,27.753,112.678912,88.30808
110,-10.79375,14.110828,27.89582,114.32824,83.50036
111,-11.910442,12.964474,27.653928,113.391056,74.811336
112,-10.002896,13.021929,27.457154,113.92564,86.960408
113,-13.487976,11.440789,26.772488,111.693632,85.680392
114,-11.1116,11.836729,27.185266,111.224944,80.637992
115,-10.920935,12.475688,27.916568,113.183256,79.806568
116,-9.485197,14.317552,26.351284,112.67612,84.218656
117,-11.600144,15.184419,26.898332,111.553504,85.637272
118,-11.027154,11.464872,26.202428,110.915016,84.37908
119,-10.730636,13.070209,27.288528,111.79976,82.127872
120,-9.84686,13.792577,26.991096,112.583552,82.754848
121,-10.880455,13.198184,28.146894,109.665376,87.86508
122,-9.65204,14.131646,25.821378,111.011048,87.071152
123,-11.954096,14.210412,28.63102,110.928176,85.19192
124,-10.721516,12.385433,26.915586,110.314368,85.831472
125,-10.244547,15.01554,25.840426,109.64344,86.285128
126,-11.051416,12.739554,25.989198,109.94912,88.01176
127,-10.968293,12.822362,28.786992,111.347976,84.85176
128,-8.913129,14.749962,24.917198,108.7136,83.438448
129,-11.840888,12.945727,25.210718,110.021096,84.140576
130,-10.812793,12.050902,23.162478,107.644888,87.021104
131,-10.041843,13.746201,24.834918,109.151736,87.114896
132,-9.92395,12.657071,25.076932,109.651984,85.192008
133,-9.86386,13.30173,25.671104,108.546856,85.945624
134,-8.896168,13.097704,25.82588,110.277184,84.997432
135,-10.533487,14.178426,24.7158,109.759256,86.067864
136,-10.586811,14.528635,27.07568,110.297104,82.372936
137,-8.336826,14.771041,26.68902,109.371568,80.833208
138,-9.500216,15.076549,28.131468,111.159928,84.05696
139,-9.409026,13.626259,26.867956,111.261576,84.621088
140,-8.265581,16.93466,26.450044,111.617768,80.931896
141,-9.450925,14.616824,26.973084,110.112128,83.189728
