year,month,XMXL WMASK mnthly
 75, 1,  0.4129457E+04
 75, 2,  0.4599646E+04
 75, 3,  0.5936500E+04
 75, 4,  0.7721499E+04
 75, 5,  0.1520680E+05
 75, 6,  0.1769421E+05
 75, 7,  0.1767198E+05
 75, 8,  0.1333059E+05
 75, 9,  0.1283579E+05
 75,10,  0.1205555E+05
 75,11,  0.1033590E+05
 75,12,  0.6493696E+04
 76, 1,  0.4118634E+04
 76, 2,  0.4584814E+04
 76, 3,  0.5911191E+04
 76, 4,  0.8200168E+04
 76, 5,  0.1590564E+05
 76, 6,  0.1810563E+05
 76, 7,  0.1713292E+05
 76, 8,  0.1305563E+05
 76, 9,  0.1217563E+05
 76,10,  0.1183402E+05
 76,11,  0.1038944E+05
 76,12,  0.6444133E+04
 77, 1,  0.4106828E+04
 77, 2,  0.4588699E+04
 77, 3,  0.5906053E+04
 77, 4,  0.8227469E+04
 77, 5,  0.1700656E+05
 77, 6,  0.1791175E+05
 77, 7,  0.1631568E+05
 77, 8,  0.1253605E+05
 77, 9,  0.1200948E+05
 77,10,  0.1177961E+05
 77,11,  0.1037571E+05
 77,12,  0.6495389E+04
 78, 1,  0.4109061E+04
 78, 2,  0.4581233E+04
 78, 3,  0.5923466E+04
 78, 4,  0.8558891E+04
 78, 5,  0.1570662E+05
 78, 6,  0.1652700E+05
 78, 7,  0.1591145E+05
 78, 8,  0.1213204E+05
 78, 9,  0.1202777E+05
 78,10,  0.1169967E+05
 78,11,  0.1042415E+05
 78,12,  0.6511310E+04
 79, 1,  0.4108317E+04
 79, 2,  0.4588313E+04
 79, 3,  0.5889522E+04
 79, 4,  0.7705309E+04
 79, 5,  0.1301527E+05
 79, 6,  0.1568219E+05
 79, 7,  0.1543591E+05
 79, 8,  0.1225276E+05
 79, 9,  0.1209760E+05
 79,10,  0.1174453E+05
 79,11,  0.1044452E+05
 79,12,  0.6570425E+04
 80, 1,  0.4108729E+04
 80, 2,  0.4578073E+04
 80, 3,  0.5899726E+04
 80, 4,  0.7844302E+04
 80, 5,  0.1460512E+05
 80, 6,  0.1637326E+05
 80, 7,  0.1564435E+05
 80, 8,  0.1283496E+05
 80, 9,  0.1295377E+05
 80,10,  0.1247360E+05
 80,11,  0.1060409E+05
 80,12,  0.6545075E+04
 81, 1,  0.4098365E+04
 81, 2,  0.4588613E+04
 81, 3,  0.5910594E+04
 81, 4,  0.8501774E+04
 81, 5,  0.1556561E+05
 81, 6,  0.1589568E+05
 81, 7,  0.1520356E+05
 81, 8,  0.1279175E+05
 81, 9,  0.1253696E+05
 81,10,  0.1180332E+05
 81,11,  0.1041838E+05
 81,12,  0.6490356E+04
 82, 1,  0.4125181E+04
 82, 2,  0.4577005E+04
 82, 3,  0.5887092E+04
 82, 4,  0.7793764E+04
 82, 5,  0.1376609E+05
 82, 6,  0.1587129E+05
 82, 7,  0.1569303E+05
 82, 8,  0.1249553E+05
 82, 9,  0.1191029E+05
 82,10,  0.1176164E+05
 82,11,  0.1048819E+05
 82,12,  0.6610516E+04
 83, 1,  0.4128820E+04
 83, 2,  0.4592233E+04
 83, 3,  0.5900542E+04
 83, 4,  0.7633247E+04
 83, 5,  0.1354296E+05
 83, 6,  0.1697132E+05
 83, 7,  0.1702235E+05
 83, 8,  0.1253039E+05
 83, 9,  0.1207953E+05
 83,10,  0.1172299E+05
 83,11,  0.1033701E+05
 83,12,  0.6521547E+04
 84, 1,  0.4126132E+04
 84, 2,  0.4597007E+04
 84, 3,  0.5901479E+04
 84, 4,  0.7724610E+04
 84, 5,  0.1542952E+05
 84, 6,  0.1742795E+05
 84, 7,  0.1621157E+05
 84, 8,  0.1247773E+05
 84, 9,  0.1180908E+05
 84,10,  0.1169091E+05
 84,11,  0.1038316E+05
 84,12,  0.6531192E+04
 85, 1,  0.4142520E+04
 85, 2,  0.4587719E+04
 85, 3,  0.5885254E+04
 85, 4,  0.8051998E+04
 85, 5,  0.1603088E+05
 85, 6,  0.1774189E+05
 85, 7,  0.1561221E+05
 85, 8,  0.1265387E+05
 85, 9,  0.1211282E+05
 85,10,  0.1173663E+05
 85,11,  0.1040581E+05
 85,12,  0.6536484E+04
 86, 1,  0.4119928E+04
 86, 2,  0.4585561E+04
 86, 3,  0.5908866E+04
 86, 4,  0.7659357E+04
 86, 5,  0.1402900E+05
 86, 6,  0.1726187E+05
 86, 7,  0.1606073E+05
 86, 8,  0.1220198E+05
 86, 9,  0.1201486E+05
 86,10,  0.1184903E+05
 86,11,  0.1048775E+05
 86,12,  0.6548042E+04
 87, 1,  0.4138427E+04
 87, 2,  0.4596239E+04
 87, 3,  0.5934396E+04
 87, 4,  0.7581575E+04
 87, 5,  0.1391314E+05
 87, 6,  0.1803259E+05
 87, 7,  0.1737680E+05
 87, 8,  0.1256877E+05
 87, 9,  0.1204093E+05
 87,10,  0.1186278E+05
 87,11,  0.1054140E+05
 87,12,  0.6538906E+04
 88, 1,  0.4130816E+04
 88, 2,  0.4599136E+04
 88, 3,  0.5940895E+04
 88, 4,  0.8914857E+04
 88, 5,  0.1832995E+05
 88, 6,  0.1955816E+05
 88, 7,  0.1748579E+05
 88, 8,  0.1309780E+05
 88, 9,  0.1239139E+05
 88,10,  0.1200135E+05
 88,11,  0.1053938E+05
 88,12,  0.6490236E+04
 89, 1,  0.4099977E+04
 89, 2,  0.4604954E+04
 89, 3,  0.5949228E+04
 89, 4,  0.9776675E+04
 89, 5,  0.1978497E+05
 89, 6,  0.2016828E+05
 89, 7,  0.1770974E+05
 89, 8,  0.1332985E+05
 89, 9,  0.1224726E+05
 89,10,  0.1187846E+05
 89,11,  0.1054893E+05
 89,12,  0.6459866E+04
 90, 1,  0.4120743E+04
 90, 2,  0.4585828E+04
 90, 3,  0.5936113E+04
 90, 4,  0.9611100E+04
 90, 5,  0.1950494E+05
 90, 6,  0.2046235E+05
